"HerdMRSA","HerdTypeNum","FeedingPlacesMinGrouped","AntibioticsFrom10W","PurchaseBin","IndoorHousing","OtherLivestockAtFarmBin","CompanionAnimalsBin","AllInAllOut","Cleanup","Disinfection","SlattedFloor","OrganicFarm"
"positive","grower.to.finisher","X1000.4999.pigs","yes","yes","yes","no","no","yes","yes","yes","yes..at.least.partially.slatted.","no"
"positive","grower.to.finisher","X1000.4999.pigs","yes","yes","yes","yes","no","yes","yes","yes","yes..at.least.partially.slatted.","no"
"negative","grower.to.finisher","X500.999.pigs","no","yes","yes","no","no","no","yes","yes","yes..at.least.partially.slatted.","no"
"positive","farrow.to.finisher","X0.499.pigs","no","no","yes","no","yes","no","no","no","yes..at.least.partially.slatted.","no"
"negative","farrow.to.finisher","X500.999.pigs","no","no","yes","no","yes","no","yes","yes","yes..at.least.partially.slatted.","no"
"positive","farrow.to.finisher","X500.999.pigs","no","no","yes","no","yes","yes","yes","yes","yes..at.least.partially.slatted.","no"
"positive","grower.to.finisher","X500.999.pigs","yes","yes","yes","yes","no","yes","yes","yes","yes..at.least.partially.slatted.","no"
"positive","grower.to.finisher","X500.999.pigs","no","yes","yes","yes","yes","no","yes","yes","yes..at.least.partially.slatted.","no"
"positive","grower.to.finisher","X1000.4999.pigs","yes","yes","yes","no","no","yes","yes","yes","yes..at.least.partially.slatted.","no"
"positive","grower.to.finisher","X1000.4999.pigs","no","yes","yes","no","yes","yes","yes","yes","yes..at.least.partially.slatted.","no"
"positive","grower.to.finisher","X1000.4999.pigs","yes","yes","yes","no","no","yes","yes","yes","yes..at.least.partially.slatted.","no"
"positive","farrow.to.finisher","X500.999.pigs","yes","yes","yes","no","no","yes","yes","yes","yes..at.least.partially.slatted.","no"
"negative","farrow.to.finisher","X500.999.pigs","no","yes","yes","no","no","no","yes","yes","yes..at.least.partially.slatted.","no"
"negative","grower.to.finisher","X0.499.pigs","yes","yes","yes","no","no","yes","yes","yes","yes..at.least.partially.slatted.","no"
"negative","farrow.to.finisher","X0.499.pigs","no","no","yes","yes","no","no","yes","no","yes..at.least.partially.slatted.","no"
"negative","farrow.to.finisher","X0.499.pigs","no","no","yes","no","no","no","no","no","yes..at.least.partially.slatted.","no"
"negative","grower.to.finisher","X0.499.pigs","no","yes","yes","no","no","yes","yes","yes","yes..at.least.partially.slatted.","no"
"negative","grower.to.finisher","X1000.4999.pigs","no","yes","yes","yes","no","yes","yes","yes","yes..at.least.partially.slatted.","no"
